Code,Description,Used
  STATEFIPS,The state federal information processing system (FIPS) code,0
  STATE,State associated with zip code,0
  ZIPCODE,5-digit zip code,0
  AGI_STUB,Size of adjusted gross income,0
  N1,Number of returns,0
  MARS1,Number of single returns,1
  MARS2,Number of joint returns,1
  MARS4,Number of head of household returns,1
  ELF,Number of electronically filed returns,0
  CPREP,Number of computer prepared paper returns,0
  PREP,Number of returns with paid preparer's signature,0
  DIR_DEP,Number of returns with direct deposit,0
  N2,Number of exemptions,0
  NUMDEP,Number of dependents,1
  TOTAL_VITA,Total number of volunteer prepared returns [3],0
  VITA,Number of volunteer income tax assistance (VITA) prepared returns [3],0
  TCE,Number of tax counseling for the elderly (TCE) prepared returns [3],0
  VITA_EIC,Number of volunteer prepared returns with Earned Income Credit [3],0
  RAC,Number of refund anticipation check returns,0
  ELDERLY,Number of elderly returns [4],0
  A00100,Adjusted gross income (AGI) [5],1
  N02650,Number of returns with total income,1
  A02650,Total income amount,1
  N00200,Number of returns with salaries and wages,0
  A00200,Salaries and wages amount,1
  N00300,Number of returns with taxable interest,0
  A00300,Taxable interest amount,1
  N00600,Number of returns with ordinary dividends ,0
  A00600,Ordinary dividends amount,0
  N00650,Number of returns with qualified dividends,0
  A00650,Qualified dividends amount [6],0
  N00700,Number of returns with state and local income tax refunds,0
  A00700,State and local income tax refunds amount,0
  N00900,Number of returns with business or professional net income (less loss),0
  A00900,Business or professional net income (less loss) amount,1
  N01000,Number of returns with net capital gain (less loss),0
  A01000,Net capital gain (less loss) amount,1
  N01400,Number of returns with taxable individual retirement arrangements distributions,0
  A01400,Taxable individual retirement arrangements distributions amount,0
  N01700,Number of returns with taxable pensions and annuities,0
  A01700,Taxable pensions and annuities amount,1
  SCHF,Number of farm returns,1
  N02300,Number of returns with unemployment compensation,0
  A02300,Unemployment compensation amount [7],1
  N02500,Number of returns with taxable Social Security benefits,0
  A02500,Taxable Social Security benefits amount,1
  N26270,Number of returns with partnership/S-corp net income (less loss),1
  A26270,Partnership/S-corp net income (less loss) amount,0
  N02900,Number of returns with total statutory adjustments,0
  A02900,Total statutory adjustments amount,0
  N03220,Number of returns with educator expenses,1
