"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,3.95833333333333,85.63,,,269100,0.0743770918557084,1.43234074632492,0.045837978446674,,0.146205804565714,0.0135569748310807,79
"State","Alabama",,"AL",,,,1.45833333333333,82.25,5.3425,2.3252,126000,0.158982511923688,3.61842105263158,0.0297698412698413,,0.142491150899182,0.0298780307213246,90
"State","Arkansas",,"AR",,,,5.20833333333333,83.92,3.9802,0.8322,121500,0.330305532617671,7.04845814977974,0.0357860082304526,,0.125862060982441,0.0328129584347728,86
"State","Arizona",,"AZ",,,,7.29166666666667,86.93,4.8094,0.7729,226800,0.531914893617021,6.62905500705219,0.0294356261022928,,0.114607560669292,0.024731637505791,70
"State","California",,"CA",,,,8.33333333333333,93.06,3.8654,1.1441,509600,0.532649437758927,7.26162913070932,0.024326923076923,,0.0670888493729657,0.0294008878595177,59
"State","Colorado",,"CO",,,,10,96.91,1.3552,0.2148,339200,0.593119810201661,8.26683689754229,0.0335465801886792,,0.0595696252272759,0.0139734907086978,54
"State","Connecticut",,"CT",,,,2.08333333333333,74.74,1.8083,0.762,246900,0.406669377795852,2.53322259136213,0.0230417172944513,,0.137546401620693,0.0704473142243093,96
"State","District of Columbia",,"DC",,,,6.875,97.68,1.8455,1.5138,538700,-0.166790214974055,2.90353390639924,,,0.0964916091105223,0.0490696278511405,63
"State","Delaware",,"DE",,,,0.416666666666667,74.06,9.5708,4.9869,215700,-0.369515011547344,1.03044496487119,0.0242512749188688,,0.11376036947831,0.0814372453346555,93
"State","Florida",,"FL",,,,7.70833333333333,83.98,,,212100,0.616698292220114,8.6577868852459,0.0318246110325318,,0.097996861141912,0.0627686229855814,93
"State","Georgia",,"GA",,,,6.45833333333333,83.98,,,159100,0.632511068943706,6.63538873994638,0.0465556253928348,,0.130029273861525,0.0371979569266924,72
"State","Hawaii",,"HI",,,,8.54166666666667,93.17,1.0686,0.1285,604600,0.198873052701359,5.53325187641822,0.0237330466424082,,0.0499947564417894,0.0603110366073859,84
"State","Iowa",,"IA",,,,4.375,92.31,1.8836,0.7616,128300,0.469851213782302,3.05220883534137,0.0225565081839438,,0.119888061914491,0.022408139212851,70
"State","Idaho",,"ID",,,,9.375,89.73,,,196800,0.459418070444104,10.0055897149245,0.0376422764227642,,0.110471494398297,0.0161430450687992,61
"State","Illinois",,"IL",,,,2.5,76.56,,,170200,0.35377358490566,4.41717791411043,0.0422972972972973,,0.161073960691899,0.0454702751143083,86
"State","Indiana",,"IN",,,,1.25,91.03,,,121600,-0.0821692686935086,3.31350892098556,0.0299342105263158,,0.130115493893571,0.0371913091503939,69
"State","Kansas",,"KS",,,,3.75,96.23,,,126100,0.158856235107228,4.04290429042904,0.0282712133227596,,0.110340386895015,0.0233969545089405,62
"State","Kentucky",,"KY",,,,7.91666666666667,90.14,0.1264,0.0707,136100,0.220913107511046,4.61183704842429,0.0342468772961058,,0.112977451872851,0.0265454801944312,69
"State","Massachusetts",,"MA",,,,3.125,92.77,10.3959,5.9731,378900,0.370860927152318,6.34296940780241,0.0294853523357086,,0.0712141855243262,0.0554536415542485,74
"State","Maryland",,"MD",,,,1.875,80.07,7.9907,1.9809,272800,0.627074880118038,4.04271548436308,0.0298607038123166,,0.145603328461852,0.0588089815846886,89
