"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","""Springfield, MA""",,2.09454184115267,75,,5.7575,198700,0.353535353535354,5.18793012175754,0.0284146955208857,,0.112504610844707,0.0721311475409836,77.5
"Zip","01002","Amherst","MA","Springfield, MA","""Springfield, MA""",,3.09958123358649,92.31,,,315600,-0.221308883970914,3.44149459193707,0.0225031685678074,,0.0600522193211488,0.0507246376811594,93.5
"Zip","01005","Town of Barre","MA","Worcester, MA","""Worcester, MA-CT""",,1.0540137696075,50,,73.3217,219500,0.319926873857404,2.61804581580178,0.0393075170842825,,0.0795454545454546,0.174603174603175,76
"Zip","01007","Town of Belchertown","MA","Springfield, MA","""Springfield, MA""",,2.9462701398254,100,,,260600,-0.572300648607402,0.385208012326656,0.0243706830391404,,0.057421875,0.0340136054421769,88
"Zip","01008","Blandford","MA","Springfield, MA","""Springfield, MA""",,1.17964369366172,0,,,224900,0.491510277033065,4.21686746987952,0.0259315251222765,,0.0714285714285714,0.166666666666667,78
"Zip","01010","Brimfield","MA","Springfield, MA","""Springfield, MA""",,1.69919795585208,100,,9.6012,248000,0.242522231204527,4.86257928118393,0.0291935483870969,,0.0804597701149425,0.102040816326531,78
"Zip","01011","Chester","MA","Springfield, MA","""Springfield, MA""",,1.43587195684577,100,,,173400,0.347222222222222,1.82031708749266,0.0236332179930796,,0.0875912408759124,0.0833333333333333,78
"Zip","01013","Chicopee","MA","Springfield, MA","""Springfield, MA""",,1.13918659947477,100,,5.6505,171600,0.292226767971946,4.76190476190476,0.0256934731934733,,0.113647894469812,0.0982142857142857,75.5
"Zip","01020","Chicopee","MA","Springfield, MA","""Springfield, MA""",,2.36567534956349,88.89,,4.2796,180700,0.444691495275153,5.54906542056075,0.0240343110127283,,0.0881012658227848,0.0545977011494253,76
"Zip","01022","Chicopee","MA","Springfield, MA","""Springfield, MA""",,0.0198736603023635,,,,111500,-0.357462019660411,2.19981668194317,0.0182421524663676,,0.202040816326531,0.0808080808080808,75.5
